PCIe上行接口,支持1个外部PCIe上行接口（性能Gen3）
PCIe下行接口,支持13个输出到外部的PCIe下行接口（性能Gen3）
PCIe接口交换,支持输入PCIe接口分时控制输出到13个Slot的PCIe接口
LVDS接口,支持单板主控与13个Slot的LVDS通信（频率、带宽等性能）
时钟接口,支持输出到13个Slot的PCIe时钟接口（S21、S11、阻抗等性能）
,支持输出到13个Slot的PCIe时钟接口（S21、S11、阻抗等性能）
,支持输出到13个Slot的固定系统同步时钟接口（S21、S11、阻抗等性能）
Reset接口,支持1路光纤卡reset信号输入接口
,支持输出到13个Slot的reset接口
trigger接口,支持输出到13个Slot各8个双向单端接口（S21、S11、阻抗等性能）
,支持输出到13个Slot各1个单向（背板到Slot）差分接口（S21、S11、阻抗等性能）
,支持对外2个双向单端SMA接口（S21、S11、阻抗等性能）
板卡访问接口,支持输出到13个Slot各1个IIC通讯接口（速率性能）
加载状态指示接口,支持输出到13个Slot各1个IO电平状态指示接口
Slot地址指示接口,支持输出到13个Slot各5个IO电平地址指示接口
Slot相邻连接接口,支持输出到13个Slot各2个IO相邻连接接口
电源输出接口,支持输出到13个Slot各1个12V电源接口
,支持输出到13个Slot各1路3.3V电源接口
电源输入接口,支持1路48V电源输入接口
整机控制信号接口,支持1路整机控制LVDS接口（温度监测、风扇调节、LED点灯、电源状态访问）
,支持1路光纤卡整机控制GPIO接口
我司相比爱得万IO通道数少
,支持2路风扇整机控制GPIO接口
光纤卡控制信号接口,支持1路光纤卡控制IIC通讯接口
,支持2路光纤卡控制IIC地址选择接口
JTAG,支持2路JTAG接口
竞争对手泰瑞达DPS输出噪声低于我司1mV
本地时钟产生,支持10/12.5MHz时钟产生，7044（频率12.5MHz、Jitter<1ps、频偏<20ppm 等性能）
,支持固定系统同步时钟产生，CCHD（频率100MHz、Jitter<0.5ps、频偏<20ppm 等性能）
,支持可配系统同步时钟产生，7044（频率100M/200MHz、Jitter<1ps、频偏<20ppm 等性能）
,支持trigger系统同步时钟产生（频率100MHz、Jitter<0.5ps、频偏<20ppm 等性能）
时钟参考选择,支持10/12.5MHz时钟产生源来自SMA外部输入时钟接口
,支持10/12.5MHz时钟产生源来自固定系统同步时钟源，CCHD
,支持固定系统同步时钟产生源来自板级晶振，CCHD
,支持固定系统同步时钟产生源来自SMA外部输入时钟接口
,支持可配系统同步时钟产生源来自固定系统同步时钟源，CCHD
,支持可配系统同步时钟产生源来自SMA外部输入时钟接口
时钟传输,支持固定系统同步时钟传输到13个Slot的时钟接口，CCHD
,支持可配系统同步时钟传输到13个Slot的时钟接口，7044
,支持外部10/12.5MHz时钟传输到13个Slot的时钟接口，SMA
,支持固定系统同步时钟传输到板级主控FPGA，CCHD
,支持外部10/12.5MHz时钟传输到板级主控FPGA，SMA
时钟检测,支持外部10/12.5MHz时钟频偏检测
,支持时钟丢失检测
,支持时钟频偏检测
PCIe时钟选择,支持根据硬件设置选择来自PCIe接口的时钟
,支持根据硬件设置选择来自本地固定系统同步时钟
,支持手动硬件设置时钟选择开关
PCIe时钟分发控制,支持选择的时钟分发到13个Slot的时钟接口
trigger时钟选择,支持选择固定系统同步时钟源产生trigger时钟
,支持选择SMA外部输入时钟源产生trigger时钟
复位时间,支持不低于10ms复位有效电平
复位产生,支持根据输入reset信号产生本地reset信号
,支持根据输入的13个Slot PRSTN信号指示释放各Slot reset信号
,支持根据输入reset信号，PCIe交换单元reset释放先于各Slot reset信号
,支持根据输入reset信号，BP其他单元reset释放先于各Slot reset信号
上电加载状态,单板上电加载完毕BP对外时钟接口正常输出
,单板上电加载完毕BP对外复位IO输出电平为低
,单板上电加载完毕BP对外tirgger IO处于HZ态
,单板上电加载完毕BP对外LVDS IO输出低电平
,单板上电加载完毕BP对外其他控制IO输出HZ
,单板上电加载完毕PCIe接口pull up状态
,单板上电加载完毕IIC接口处于高电平
,支持上电配置关键芯片（HMC7044）
支持上电自检,支持时钟关键芯片自检（HMC7044）
,支持 DDR/ROM自检
,支持时钟丢失检测
,支持关键电源电压检测
上电配置烧录,支持单板上电前基本配置文件烧录（Flash、E2ROM）
输入电源要求,支持DC-48V输入电压，性能EMI class B
二次电源转换,支持48V转12V数字电源（电压、电流）
二次电源功率,功耗要求达到150W
二次电源效率,转换效率到达89%
三次电源转换,支持12V转4种数字电源（电压、电流）
,交换芯片（0.9V/45.4A,1.8V/1.276A）
,FPGA(1.0V/5A,1.5V/3.5A,3.3V/2.3A,1.8V/1.4A)
,CLOCK(3.5V/2.7A,3.3V/2.2A)
,背板slot接口辅助电源(12V/2A,3.3V/2A)
三次电源功率,功耗要求达到150W
三次电源效率,转换效率到达82%
板卡供电输出,支持12V输出给光纤卡供电
数据存储单元要求,E2ROM用于存储单板信息数据（K7，空间）
,E2ROM用于存储PCIe交换芯片数据（8796，空间）
,DDR3用于LVDS存储数据（空间、带宽等性能）
,Flash用于FPGA程序加载（空间）
板级功耗要求,热耗不高于100Watt
,每个散热器+风扇散热支持30Watt热耗
,单板局部温度不高于85度，平均温度不高于75度（环境温度35度）
PCIe控制管理,支持单板与上位机通过PCIe接口实现管理通信
时钟相位同步,支持13个Slot同步信号检测
,支持13个Slot同步相位配置与调整
,支持背板Trigger脉冲宽度可配置
,支持每个Slot各8路Trigger，根据寄存器配置值选择Slot之间的Triger组合
,支持根据配置寄存器选择外部Trigger
板卡温度检测,支持板级温度检测上报寄存器，精度0.125度
风扇检测与控制,支持检测板级风扇工作检测（K7、8796）
,支持检测板级风扇转速控制
Trigger信号互连互通,支持背板与13个Slot的8路单端Trigger信号互连
,支持13个Slot与SMA接口的2路单端Trigger信号互连
,支持13个Slot的8路单端Trigger信号互连
,支持背板与SMA接口2路单端Trigger信号互连
,支持背板与13个Slot的1路差分Trigger信号互连
StaTrigger信号选择,支持StartTrigger信号选择，单端or差分
IIC信号互连通讯,支持背板与13个Slot的IIC接口通讯
,支持IIC读取温度数据
支持电源控制板通讯转接,支持与整机电源控制板LVDS通讯转接
Instrument状态指示,支持板卡是否在位标志上报到寄存器
,支持板卡电灯指示标志上报到寄存器
,支持板卡版本状态上报寄存器
K7与C4接口扩展,支持K7输入的控制信号8路扩展
支持与K7间local bus片间通信接口,支持与K7间local bus片间通信接口
AWG波形产生,支持AWG波形生成
支持系统时钟,支持系统工作时钟125MHz
,支持板内DPS控制（C4）和PMU计算单元（K7）时钟传输（频率100MHz、Jitter、频偏等性能）
支持复位,支持芯片复位，时间大于10ms
数据存储要求,NOR FSH 用于存储配置文件
,EEPROM用于存储 校准和板卡 信息
digital电平输出,支持128通道独立digital电平信号输出
,支持128通道独立digital电平信号输出开关控制
,每通道digital电平信号输出范围-1.5V～6.5V（精度、纹波等性能）
,每通道digital电平信号输出控制step支持213.6uV
,每通道digital电平信号输出速率支持200Mbps
,每通道digital电平信号输出驱动电流0～20mA
digital电平输入,支持128通道独立digital电平信号输入
,每通道digital电平输入范围-1.5V～6.5V（50mV精度、纹波等性能）
,每通道digital电平信号输入控制step支持213.6uV
,每通道digital电平信号输入速率支持200Mbps
,支持128通道输入digital电平信号计算检测
,支持128通道输入digital电平信号检测结果上报寄存器
电流驱动能力计算检测,支持128通道独立驱动电流信号IOH、IOL输入
,每通道IOH电流信号输入范围-20～0mA，精度+-1mA
,每通道IOL电流信号输入范围0～20mA，精度+-1mA
,每通道输入电流信号控制step支持100uA
,支持128通道IOH、IOL输入电流信号驱动能力计算检测
,支持128通道IOH、IOL输入电流信号驱动能力检测结果上报寄存器
支持Timing Generators功能,支持128通道任意接口时序产生
,支持128通道任意接口时序VIL、VIH电压-1.5V～6.5V
,每通道时序速率支持200Mbps
,每通道时序vector深度支持128M
支持128通道Fail Capture功能,支持128通道fail vector保存到外部DDR
,fail vector保存空间支持4K vector
,支持128通道并行时序控制
,支持128通道时序同步控制，精度<0.5ns
,每通道单独支持3种Timing格式（NRZ, RZ, RO）
,每通道单独支持4种输出时序上升下降沿时刻产生（drive）
,每通道单独支持2种输入时序上升下降沿采样时刻（comp）
,每通道单独支持32个Timing set
支持EPA性能,每通道EPA性能支持5ns
支持128路free runnning clk产生,支持独立4组32通道并行产生free runnning clk
,每组free runnning clk支持频率12KHz～200MHz，软件可配
,每组free runnning clk支持7种分频比，软件可配（1\2\4\8\16\32\64）
支持128通道Trigger同步,支持8个单端双向trigger信号接口
,支持1个差分输入trigger信号接口
,128个通道根据差分输入trigger信号实现时序对齐
,支持从8个单端trigger信号选择任意1个输出
支持32通道Relay控制,支持32通道Relay开关打开输出OD
,支持32通道Relay开关关闭输出上拉3.3V
,支持32通道软件配置Relay开关控制
支持128路PMU通道电压输出功能,支持128路FV功能输出
支持128路PMU通道电压测量功能,支持128路FI功能输出
支持128路PMU通道输入电压测量功能,支持128路输出MV功能
支持128路PMU通道输入电流测量功能,支持128路输出MI功能
,支持128路Gain与Offset的FV运算处理
,支持128路Gain与Offset的FI运算处理
,支持128路Gain与Offset的MV运算处理
,支持128路Gain与Offset的MI运算处理
,支持128路FV、FI、MV、MI功能单独可控
支持128路PMU通道电压采集上报,支持128路MV结果采集存储DDR
,支持128路MV结果数据转换上报DDR和寄存器
支持128路PMU通道电流采集上报,支持128路MI结果采集存储DDR
,支持128路MI结果数据转换上报DDR和寄存器
支持128路PMU通道电压输出性能,性能参见：参见性能指标页
支持128路PMU通道电压测量性能,性能参见：参见性能指标页
支持128路PMU通道电流输出性能,性能参见：参见性能指标页
支持128路PMU通道电流测量性能,性能参见：参见性能指标页
支持16路PPMU信号输出,支持16路输入PMU信号转输出PMU信号
,支持16路输出PMU信号性能：参见性能指标页
,支持16路软件配置PPMU输出开关控制
支持8路PE输出自检,支持上电复位后8路PE输出自检
,支持8路软件配置开启PE输出自检
,支持8路自检结果上报寄存器
支持板级电源上电自检,支持板级电源输出电压采集保存寄存器（种类见设计方案）
,支持板级电源输出电压检测，并上报软件
,支持电源工作状态异常警告保存寄存器
输入电源要求,支持DC-48V输入电压，性能EMI class B
二次电源转换,支持48V转12V数字电源（电压、电流）
二次电源功率,功耗要求达到600W
二次电源效率,转换效率到达89%
三次电源转换,支持12V转4种数字电源（电压、电流）
,交换芯片（0.9V/10A,1.8V/0.3A）
,K7-FPGA(1.0V/20A,1.5V/25A,3.3V/1.2A,1.8V/5.6A,)
,CLOCK(3.3V/2.3A)
,背板slot接口辅助电源(12V/2A,3.3V/2A)
,KU-FPGA(0.95V/13.8A,1.2V/5A,3.3V/1.5A,1.8V/1.9A,,)
,"PE&LOAD
(-3.65V/14.8A,8.65V/10.56A,3.5V/4.8A,1.8V/24A)"
三次电源功率,功耗要求达到520W
三次电源效率,转换效率到达82%
支持上下电时序控制,"支持K7数字电源上电时序要求：core 1.0V>AUX 1.8V>VCCIO
MGT1.0V>MGT1.2V"
支持PE上下电时序控制,支持软件配置PE上下电时序
,PE上下电时序要求：1.8V >±3.5V>8.5V
支持IIC接口通讯,支持KU与背板之间通信
支持HMC7044 配置,支持实时配置PLL
,对于KU K7的PCIe core实现复位
数据存储要求,支持DDR3数据存储，4GB
,支持DDR4 sodimm 数据存储，compare
,NOR FSH 用于存储配置文件
,EEPROM用于存储 校准和板卡 信息
板级功耗要求,小于等于600W
,每个散热器+风扇散热支持30Watt热耗
,单板局部温度不高于85度，平均温度不高于75度（环境温度35度）
Instrument状态指示,Pcie device link状态LED指示。
,OD Present 拉低 显示板卡配置完成，对应GPIO拉高
板卡温度检测,支持板级温度检测上报寄存器，精度0.125度
